score,review,url,title,y
5,맛있게 잘 먹었습니다~,https://place.map.kakao.com/25038747,거대갈비,1
5,"듣던 명성대로 맛있네요 예약전화 연결 잘 안돼서 당일 방문했더니 대기가 길다고ㅜㅜ 두시간 정도 걸릴수 있다고 했지만 다행히 50분만에 전화와서 바로 들어가 먹을수 있었어요.  착한 가격은 아니지만, 충분히 밑반찬 맛있고, 고기는 두말할거 없어, 구워주시는 정성까지.. 제값 하는거 같아요. 부산 여행가면 주변에 유명한 집 자주 갔었는데, 앞으로는 여기로 더 ...",https://place.map.kakao.com/25038747,거대갈비,1
3,Korean Beef,https://place.map.kakao.com/25038747,거대갈비,0
4,이름대로 갈비맛집임 갈빗살도 아주 맛남 등심은 더 싸고 더 맛있는 곳이 분명히 있음,https://place.map.kakao.com/25038747,거대갈비,1
3,"음..  서울에서 놀러왔다가 유명하다길래 한번가봤음. 육질이 부드럽고 숯향이 좋지만 평소 좋은고기, 맛있는 고기 많이 먹어본 우리에겐 눈이 번쩍뜨일맛 까진 아니었음ㅎㅎ 생갈비, 참진살, 양념갈비 먹었는데 셋다 식감 부드러운게 가장 강점이고 거기까지였던듯ㅎㅎ 남편도 부산산다면 손님들 모시고 오거나 이러기엔 깔끔하고 고급스러워서 오겠지만 개인적으로는 또올거같진...",https://place.map.kakao.com/25038747,거대갈비,0
5,,https://place.map.kakao.com/14666417,외식일번가 부산본점,1
5,20번은온것같음... ,https://place.map.kakao.com/14666417,외식일번가 부산본점,1
1,직원들이 매우 불친절 합니다. (찍어먹게) 소금좀 달라고 하니 아무말 없이 고기위에 슥 뿌리고 가질않나..그가격내고 다시 가고싶은 마음은 없습니다,https://place.map.kakao.com/14666417,외식일번가 부산본점,0
5,좋아요,https://place.map.kakao.com/14666417,외식일번가 부산본점,1
3,,https://place.map.kakao.com/14666417,외식일번가 부산본점,0
4,모임에 예약하고 가기 좋을것같아요. 맛도 기대이상,https://place.map.kakao.com/807850458,식당3선 센텀점,1
5,22시까지임,https://place.map.kakao.com/807850458,식당3선 센텀점,1
5,진짜 맛있다,https://place.map.kakao.com/807850458,식당3선 센텀점,1
5,주차장 넓고 음식 깔끔합니다.,https://place.map.kakao.com/807850458,식당3선 센텀점,1
3,,https://place.map.kakao.com/807850458,식당3선 센텀점,0
4,가족끼리 외식하기에 넘 좋았어요 고기종류도 많구 맛도 있네요 ㅎㅎ 직원분들도친절하더라두요,https://place.map.kakao.com/17039688,외식1번가 연제점,1
5,"부모님 생신 비롯 가족 모임 행사에 부담없이 즐길 수 있는 곳입니다. 그만큼 훈훈한 에피소드들이 많이 있었으되, 일례로 일전에 저희 테이블 전 손님의 두고가신 물품 챙겨드렸더니, 매니저님께서 감사하다는 말씀과 함께 와인도 서비스로 주시고, 늘 가족처럼 포근한 서비스로 대해주셔서 늘 감사드립니다. 바쁘신 와중에도 불편한 점은 없는지 소리소문없이 지켜보시다가 ...",https://place.map.kakao.com/17039688,외식1번가 연제점,1
2,참 더러워서 ~  후식 꼴랑 주는데 예약을하면 공짜 그냥 달라면  돈내라네~ 사장은 놀고있냐? 직원관리를 어떻게 하는거냐~~,https://place.map.kakao.com/17039688,외식1번가 연제점,0
3,,https://place.map.kakao.com/17039688,외식1번가 연제점,0
4,나름 맛있어요,https://place.map.kakao.com/17039688,외식1번가 연제점,1
5,부산 최고의 갈비탕 맛집. 가격은 조금 비싼데 그만큼 양이 많음.,https://place.map.kakao.com/374603357,호포갈비 문현점,1
1,판매점은 전화도 안받음. 2층 직원들에비해 1층 판매직원은 불친절하기 짝이 없음 질문하면 되돌아오는 냉냉함과 눈빛  알아서 택배포장해서 계산하고 송장쓰고 이러려면 택배 하지마세요. 돈다내는데 거지 취급 ,https://place.map.kakao.com/374603357,호포갈비 문현점,0
