personal_star,review,url,title,category,total_star,location,label
3,적당히 시간떼우기 좋음 파는건 그냥 그런데 구경하는게 재밌다,https://place.map.kakao.com/391998708,광고수피하우스,카페,4.2,"서울 성동구
",0
5,이쁘고 분위기가 좋아보여서 들어갔는데~ 커피도 맛있어요!ㅋ,https://place.map.kakao.com/391998708,광고수피하우스,카페,4.2,"서울 성동구
",1
3,편집샵이랑 같이 해서 그런지 분위기는 좋음. 다만 성수동 카페가 다 그렇듯 너무 비싼 음료값ㅠ 맛은 있슴,https://place.map.kakao.com/391998708,광고수피하우스,카페,4.2,"서울 성동구
",0
5,"분리된 공간도 있고 와플 커피 참으로 완벽한 조화였어요~ 분위기도 좋고, 친구랑 시간 가는줄 모르고 먹고 수다떨기 좋은 장소.",https://place.map.kakao.com/391998708,광고수피하우스,카페,4.2,"서울 성동구
",1
5,서비스너무좋고 안에도 널찍,https://place.map.kakao.com/391998708,광고수피하우스,카페,4.2,"서울 성동구
",1
5,너므 조아여 채광. 강아지도 갈수있음 ,https://place.map.kakao.com/1783691580,쎈느,카페,3.5,"서울 성동구
",1
4,not bad,https://place.map.kakao.com/1783691580,쎈느,카페,3.5,"서울 성동구
",1
3,,https://place.map.kakao.com/1783691580,쎈느,카페,3.5,"서울 성동구
",0
5,평일낮에 가면 그리좋을수가 없네요. 직원분들 밝고 친절하시고 커피는 성수일대 카페들  비교해도 평타는하고   넓고  통창으로 보이는 뷰는 그냥 흔한 도심뷰이지만 시원시원하고.  ,https://place.map.kakao.com/1783691580,쎈느,카페,3.5,"서울 성동구
",1
5,딸기케이크 존맛,https://place.map.kakao.com/1783691580,쎈느,카페,3.5,"서울 성동구
",1
1,높은 확률로 일반 동네 감자탕집이 더 맛있고 청결할거라는데 손모가지 겁니다…. 초여름에 뚜껑없는 물병이 자리에 이미 놓여져있고 언제부터 있었는지 알 수도 없음… 요즘 보냉되고 따를때만 열리는 물통이 얼마나 잘 나오는데… 돈은 많이 버시면서 그런거나 좀 해놓으시지,https://place.map.kakao.com/13289056,소문난성수감자탕,감자탕,3.1,"서울 성동구
",0
1,,https://place.map.kakao.com/13289056,소문난성수감자탕,감자탕,3.1,"서울 성동구
",0
5,양많고 싸고 친절하고 깍두기가 맛있음 근데 줄이 너무 길어,https://place.map.kakao.com/13289056,소문난성수감자탕,감자탕,3.1,"서울 성동구
",1
4,완전 푸짐하고 맛있어요. 회전율도 빠른 편. ,https://place.map.kakao.com/13289056,소문난성수감자탕,감자탕,3.1,"서울 성동구
",1
3,맛있어요. 그런데 멀리서 찾아서 먹을 맛은 아니에요.  조금 불친절한 느낌이에요.  맛있어서 별3개입니다 ㅎㅎ   ,https://place.map.kakao.com/13289056,소문난성수감자탕,감자탕,3.1,"서울 성동구
",0
1,캬 주변의 하수구 냄새가 향기가 아주 좋아서 1점 드려요,https://place.map.kakao.com/145791269,어니언,디저트카페,3.5,"서울 성동구
",0
5,"소올직히,, 가끔 가볼만함괜찮음",https://place.map.kakao.com/145791269,어니언,디저트카페,3.5,"서울 성동구
",1
2,사진맛집 디저트노맛집!,https://place.map.kakao.com/145791269,어니언,디저트카페,3.5,"서울 성동구
",0
5,근처 베이커리들 통틀어서 제일 합리적임 good,https://place.map.kakao.com/145791269,어니언,디저트카페,3.5,"서울 성동구
",1
3,야외는 밤에 가기 분위기 있고 좋아요 근데 의자가 이빨이 좀 빠져서 기대기도 어렵고 불안합니다.. 커피 맛은 그냥 그렇고 비건말차는 두유말차인 것 같아요. 의자만 좀 편했으면 다시 가고 싶을 것 같습니다.,https://place.map.kakao.com/145791269,어니언,디저트카페,3.5,"서울 성동구
",0
